Description - Program titles - any/all other information written out on tape label, N
British Comedies - Waiting For God ; Keeping Up Appearances, 1
News McNeil Lehrer | The Group | Being Served, 1
Drama Masterpiece Theater | M[sic] | Fush Limb, 1
Comedy 3-23 CBS-7 The Nanny | Tom | 3-24 NBC-4 | 7-17 Fox-25 Martin | Living Lingle | Married | Geo Carlin, 1
Archeology Marathon, 1
Comedy 6-9 ABC-5 Family Matters | Boy Meets World | Step By Step | Mr Simpson || 6-10 NBC-7 Mommies | Laraquette | Madman | Law & Order | 6-10 NBC Sat Nite Live, 1
Comedy 6-27 NBC-7 || ABC-5, 1
Comedy 6-3 ABC-5 Me & The Boys | Bringing Up Jody | NBC-7 Sat Nite Live || 6-4 Fox 25 Simpsons | The Critic | Married | Wildest Dreams, 1
Comedy 6-2 NBC-4 Mad About You | M[sic] | Seinfeld | Frazier | 6-4 NBC Mommies | Getting By | 6-5 Fox-25 Martin | Living Single | Married | Geo Carlin, 1
Comedy 6-3 ABC-5 Family Matters | Boy Meets World | Step By Step | Mr. Cooper | 7-13 CBS-7 The Nanny | Good Boys | 7-14 NBC-4 Mad About You | Wings | Seinfeld | Frazier | 7-15 ABC-5 Boy Meets World | Step By Step, 1
Docu 3-15 Dateline NBC | 6-19 PBS-2 Nat Geogr. | 6-21 PBS-2 NOVA | Firing Line, 1
Docu 3-22 PBS-2 NOVA | Front Line | 7-16 PBS-2 Swiss RR Journey | 7-19 NBC-4 Dateline NBC, 1
Comedy - The Nanny CBS-7 8-29 | 8-30, 1
Drama 5-22 Masterpiece Theater - A Foreign Field || 6-23 Mystery || 7-19 Mystery PBS-2 Yes PM, 1
Comedy 3-22 NBC-4 / ABC-5 Coach | 7-16 Dr. Quinn | [illegible] | [illegible] | NBC-4 Sat Nite LIve | Gladiators, 1
Newhart / Nik At Nite 6-23 | 6-24 Why People Hate The [illegible/cut off label] | Lucy + Desi 1-24, 1
Comedy 5-16 CBS-7 Wings | Mad About You | Frasier | Friends | Datelines NBC | News | J Leno | 5-17 ABC-5 R[sic] [illegible] | Ellen | Grace | Coach | 5-28 Fun Videos | 5-31 CBS-4 Dick Van Dyke Remembered, 1
Masterpiece Theater Sharpe's Company, 1
Comedy 5-20 Nick At Night - 1st Bewitched || 5-22 NBC-4 Nanny | Dave's World | Murphy Brown | Murphy Brown || 5-23 ABC-5 Full House 1|2 | Home Impr 1|2 || 5-23 Nick At Night, 1
Comedy 4-24 CBS-4 The Nanny | Dave's World | Murphy Brown | Cybil | Northern Exposure || 4-29 NBC-7 Final Empty Nest 1|2 || 5-16 ABC-5 Laugh at Life | Home F[sic], 1
Comedy I Blew Up The Kid ABC-5 | CBS-7 TV Bloopers | News | Martin Short | Comedy Showcase, 1
Comedy 5-18 Fox 25 Martin | Living Single | Better or Worse || 5-19 ABC-5 Family Matters | Step By Step, 1
Comedy - Nick At Night - Welcome Back Kotter, 1
BU, 1
Comp Madrid Election (Sun) Mon 7AM Bot, 1
Comp 3-15 11PM - Madrid || 3-16 6AM C-Sp 10AM Bot, 1
Comp Mahr 10AM Bot, 1
Ace of Warriors Marathon, 1
Comp 7AM C-Span 8AM Forum - Phila Af[sic]am Issues Since 9-11 Tavis Smiley | (Sat) See Also 2-22 9AM, 1
Comp 2-24 535PM TechTV 11PM || 2-25 7AM, 1
Bill Mahr 10AM Top, 1
Comp TechTV 7:30 PM Bot, 1
Comp TechTV Comfort Food PB - Audio File [illegible] Mac, 1
Sunday CBS Sunday Morning || TechTV, 1
Comp EU MSFT Anti Trust Down 8PM, 1
Comp 8-3 3PM || 8-5 PBS Old Fashioned Amusement Parks, 1
Comp CNN MSFT || Comedy Central Daily Show 11PM, 1
Comp BKTV Bill Clinton at BK Sellers 9:50 PM Bot, 1
Comp 6-19 9:50 PM || 6-20 BBC C-Sp Bot, 1
Comp Sun 2PM, 1
Comp 6-20 6PM Fox Com | Clinton BK || 6-21 BBC 610AM Bot, 1
Comp Cheney Cavuto "F Word" (Sat) Bot, 1
Comp Michael Moore Farenheit 9-11 Daily Show Bot, 1
Comp 6-124 11PM || 6-25 6AM BBC C-Sp 10AM Bot, 1
Comp Bush - Turkey NATO (Sun) Bot, 1
Comp / Fox 6-26 10PM NY [illegible] Brita[sic] | 6-27 Bush/Ireland EU (Sat) 6AM Bot, 1
Comp (Mon) Bot, 1
Comp - Clinton Book - Oprah 11PM, 1
Comp Clinton Book Pub Bot, 1
Comp Madrid Bombing Bot, 1
Comp Conspiracy 2PM, 1
Comp (Bot), 1
Comp 3-13 3PM || 3-14 (Sat) 7AM Bot, 1
Comp 3-10 11PM 6AM || 3-11 6AM Bot Fox, 1
Comp 3-9 7:35 PM | 3-10 7AM Bot, 1
British Comedies - PBS-11 Fry & Laurie | So Haunt Me | Docu OK LA C-Span | Islam in America | Specter Hearing Terr Sub.Com 20, 1
Comedy ABC-5 Freaky Friday | Who Makes You Laugh? | News | NBC-7 Sat Nite Live | Comedy Showcase, 1
Comedy 4-25 NBC-4 Wings | Wings | Frasier | Pride + Joy | News/Doc ABC-5 Barbara Walters | News | Niteline | Extra, 1
Comedy 4-20 ABC-5 Roseanne | Ellen | Grace | Coach | Docu 4-26 ABC-5 Prime Time LIve || 4-27 NBC-7 Mad About You | Hope + Gloria | Seinfeld | Friends || 4-28 Sister Sister Wedding, 1
Comedy 4-11 NBC-7 Wings | News Radio | Frazier | Pride & Joy | Docu - Dateline NBC || 4-13 NBC-7 Mad About You | Hope + Grace | Seinfeld | Friends || 4-16 ABC-5 Funniest Videos I | II, 1
Comedy - Mulberry ; Nick At Night, 1
Comedy - Wings Spec | Mulberry | Charlie Rose, 1
Comedy 4-18 NBC-7 Frasier | News Radio | Frazier | Friends | 4-19 Ellen | Roseanne | Coach | Grace || 4-20 NBC Mad About You | Hope + Gloria | Seinfeld | Hope + Gloria, 1
Comedy 3-27 NBC-7 Wings | News Radio | Frazier | Pride + Joy || 3-30 NBC-7 Mad About You | Hope + Gloria | Seinfeld | Friends || 3-31 ABC-5 Family Matters | Sister Sister | Step By Step | On Our Own, 1
Comedy - Nick At Night, 1
Comedy - Nick At Night - Lucy, 1
Comedy 3-23 NBC-7 Mad About You | Hope + Gloria | Seinfeld | Friends | 3-26 ABC-5 Funniest Videos 1 | 2 || Drama 3-26 Masterpiece Theater Martin Chuzzelwitz I | British Comedies 3-28 Mulberry - Dinner Party, 1
Comedy Empty Nest | Sat Nite Live, 1
Comedy 4-2 Fox-25 Simpsons | The Critic | Married | Dream On || 4-3 NBC-7 Fresh Prince | Mommies || 4-4 ABC-5 Full House | Thunder Alley | Home Imp | Ellen || 4-10 CBS-4 Murphy Brown | Sybil, 1
Comp [illegible] [Tucker?] || Mon Tue, 1
Comp Miners Trapped - One Surviv. (Wed), 1
Comp Miners Miscommun. 6AM, 1
Comp Dow Down 130 Goog 435 AAPL 780, 1
Comp Auto Hearing, 1
Comp Sharon, 1
Comp Wikipedia - Sl[sic] Th[sic] 4PM, 1
Comp 1-8 1AM C-Sp2 || 1-9 12:05 AM, 1
Comp 9:30 Alito Hearings, 1
Comp Auto Hearings, 1
Comp AAPL 83.79 Alito Hearings, 1
Comp Supr Ct, 1
Comp German Coast Govt 7AM, 1
Comp Sc[sic], 1
Comp Hardball 6PM, 1
Comp Higher Ground Fund (Sat), 1
Comp 9-18 2PM || 9-19 BBC 7AM, 1
Dem Party (Sat), 1
De Bond Thinking Courses | Bad Tape, 1
Iran [illegible pencil], 1
Watch on the Rhine 1 1/2 hrs C/R | Faulty Towers New Series Poor Tape, 1
News Aug 20 '87 LIbya B3 | Derby Day 1hr 30 Michael Wilding Anna Neable B-3 | Stand Up Pt 1 ETC, 1
Sneak Preview - Star Trek Sat Nite Live B-2, 1
News + NBC Bits ; Douglas Fraser Pt 1 UAW, 1
Peter Sellers: A Shot In The Dark ; After The Fox | News 11-17 Douglas Fraser Pt. 2, 1
Dick Caught John Cleese 1Hr B-3 | [illegible] 1Hr B-3 [a bunch of stuff crossed out], 1
Galileo - B Bertold Brecht 2Hr 25M B-3, 1
MacNeil Lehrer B-2, 1
News B-2 The Silling of Sex on TV Pt 2 | Duchess of Duke St | W.War I | Copy These, 1
News ? 6-2 to 6-6, 1
Sun?, 1
B3 To Be Identified - (Removed From Tape Deck Taken To Be Repaired), 1
Michael Jackson Star Trek 1/2 hr B-3, 1
[illegible] B-2 | Ch 4 SKAG 1hr B-2, 1
2-11 Kate & Allie | Newhart | 10PM News | The White House | Nite Bus Rpt | This Old House 2-24, 1
3-3 Documentaries: Firing Line - Poverty | Say Brother | 5th Gen | The Comanders Rummel | This Old House 3-7, 1
Comedy - Cosby Show | Family Ties | Cheers | Michael Nesmith | [illegible] | [illegible] (Pt 1), 1
3-11 Comedy - Bloopers Kate + Allie Newhart :60 | Kate + Allie 3-18, 1
News - Fast Forward This Tape, 1
2-23 Saturday | Eve News 2-25, 1
Sci Doc Making of Living Plants WWW of Animals (Baboons) Nature, 1
B3 Nicholas Nickleby - A Pt I 1/10 2:00 | Pt II 1/11 2:00, 1
B3 Nicholas Nickleby - A Pt III 1/12 2:00 | Pt IV 1/13 (Last 20 Min on 500 Tape) 3:00, 1
Nicolas[sic] Nickleby - B Pt II (2nd 1/2) B3 1-11 1:00 | Pt III 1-12 2:00, 1
Nicholas Nicleby - B Pt IV 3:00, 1
B2 Nicholas Nickleby - B Pt I 2:00 | Pt II (1/2) 1-11 1:00, 1
B3 Nicholas Nicleby Pt IV Concl :20, 1
Celebrate America Pt 3 6:30 - 10:30 4 1/2 Hrs, 1
Celebrate America Pt 4 10:30 AM - 3:00 PM, 1
Spec Ann - Documentaries Woman to Woman - Anorexia | Donaue - Mike Royko on Murd[sic] 50m | ABC Spec [illegible] White | 10m Navy 1-8, 1
Sneak Preview | Faulty Towers II | All Creatures Great & Small | Saudi Arabia III, 1
Comedy - 11-10 Life Most Embarrassing Moments #3 | Cheers | Monty Python 11-12, 1
Comp Tucker Patri[sic] [illegible] NSA, 1
Comp Scar[sic], 1
Comp Tucker 6AM, 1
Comp Bush/ N. Orl. Recover Plan 4:15 PM, 1
Comp | For[sic] Imus, 1
Comp 5:30PM, 1
Comp Nopo Beating, 1
Comp 6AM BBC C-Span AM, 1
Comp Mill. March (Sat), 1
Comp Relig. (Sun), 1
Comp New Fed Chair, 1
Comp The[sic], 1
Comp 6PM BBC 7AM (Sat) (Sun), 1
Comp Rita / Rally (Sat), 1
Comp Bill Clinton || The New Am Militarism, 1
Comp New Year's Eve, 1
Comp Pt 2 (7:20AM Mon), 1
Comp 1210AM, 1
Comp TechTV WBAC[?], 1
Comp Daily Show || Donahue & O'Reilly, 1
Al Franken | Sundance (Fri) 5AM, 1
Comp Con[sic] Black Caucus, 1
Comp Bush Tour, 1
Comp 1-23 TechTV || 1-24 Imus / Enron Hearing, 1
Comp TechTV | 9PM Comedy (Sat), 1
Comp (MSR), 1
Comp 10PM 6-9 | BBC 6-10 C-Sp 10AM Bot, 1
Comp Pope to Am. All Card. | Palestine Powell (Mon), 1
Comp Sen Hearings on Iraqi Prison Abuse Bot, 1
Comp Abuse of Prisoners | Bush on Arab TV Bot, 1
Comp Bush on Arab TV (Ecl) 6AM Bot, 1
Comp Scarboro, 1
Comp 6:10 AM Bot, 1
Comp 5-28 10PM | 5-29 WWII Mem. 6AM BBC C-Sp 10AM Bot, 1
Comp More Pix Iraq Prison Abuses Bot, 1
Comp More Iraqi Pix Pris. Abuses 2PM Bot, 1
Comp 1155PM, 1
Comp 5-12 10PM || 5-13 6Am BBC C-Sp 10AM Bot, 1
Comp TechTV Mac India G4, 1
Comp Sat 10AM Bot, 1
Comp Hearings Rumsfeld/Meyers on Iraq Prison Abuses Bot, 1
10-7 MSNBC 10:30 PM - 11PM | 10-8 6Am BBC C-Span - [illegible] MSNBC B[sic] 2:45 PM, 1
Booknotes (24hr - Pt II) 9:42 AM, 1
Comp Mass. Gay Marr. Bot, 1
Comp 10-9 7:30 PM MSNBC | 10-10 Blank 2 Hardball | Debate in Wash | 4AM, 1
Booknotes Pt 4 8P, 1
Doc NOVA - Chinese Mummies ; Gulf War Syndrome || Black Struggle S[sic] | (Black) Freedom's Edge, 1
News 1-21 Lehrer | NBR || 1-22 Lehrer | NBR || 1-23 Lehrer | NBR | Wash Wk | Wall St Wk, 1
News 1-28 PBS-12 Lehrer | NBR | 1-29 Lehrer | NBR | CNBC [illegible] Grodin 11-12 || 2-2 Lehrer | NBR, 1
Sunday CBS-3 Sunday Morning | NBC-10 Meet The Press | CBS-3 Face The Nation | PBS-12 Health | Money | McL Group | Firing Line | Ethics | Ground Hog's Day, 1
News 1-26 Niteline | Pol Inc || 1-27 8PM State of the Nation - Clinton 1AM, 1
News 1-30 PBS-12 Lehrer | NBR | Wash Wk | Wall St Wk | 2-3 Lehrer | NBR || Bus Com As Time Goes By || 2-4 Lehrer | NBR, 1
Sunday 2-1 ABC-6 This Week 11AM | 2-5 PBS-12 Lehrer | NBR || 2-6 PBS-12 Lehrer | NBR | Wash Wk | Wall St Wk | Docu - Ocean Realm 1|2, 1
Booknotes (24 hr Pt III), 1
AM - PM, 1
Sunday CBS-3 Sunday Morning 9 | NBC-10 Meet The PRess | Face The Nation | PBS-12 McL Grp | Firing Line | Diex | [sic] | [illegible] | A Phila Rando[sic], 1
Booknotes (24hr Pt I) 1:30, 1
C-Span2 1-10 8PM Books 11PM || PBS-12 1-18 Gulf War II, 1
Ben Wattenberg - [illegible] | [illegible] | The Law Makers | 11-6, 1
WWIII Part 1 2hrs | WWIII Part 2 2hrs, 1
Life On Earth 2-16 Pt 6 | 1-5 on Beta B-5 6-11 on T120, 1
Donahue Etc., 1
Life On Earth Pt 6-11 Pt 6 |, 1
A Town Like Alice, 1
Donahue - Kung 1:00, 1
Docu - FDR (A[sic]), 1
Documentaries - 60 Min 1hr, 1
Morning | Firing Line, 1
News + Documentaries, 1
Brideshead Revisited, 1
Daily Show - Jon Stewart - Comedy Show, 1
Comp (Sat) 10AM | 2:30 PM 7:35PM, 1
China I (9:30-), 1
Sunday CBS-3 Sunday Morning | NBC-10 Meet The Press | CBS-3 Face Nation | PBS-12 Food | Money | McL Group | Firing Line | Ethics | Gulf War Pt I, 1
MS-NBC 7AM | 1PM CNN-FN, 1
BookTV (Sat) (Cont'd), 1
Sunday CBS-3 Sunday Morning | NBC-10 Meet The Press | CBS Face The Nation | PBS-12 Health | Ethics | McL Group | Firing Line | Sci Doc [illegible], 1
Sunday 1-25 CBS-3 Sunday Morning 9AM | News | Face The Nation | News 1-26 PBS-12 Lehrer | NBR | 1-27 Lehrer | NBR, 1
CNN 11:45 PM (1/26) 7AM |, 1
CNBC 2-10/11 11PM Grodin | Geraldo || 2-11 PBS-12 Lehrer | NBR || 2-12 Lehrer | NBR | ?, 1
8PM | 10:10PM, 1
Brit-Coms Keeping Up Appearances [each date], 1
CNN-FN 7AM | MSNBC 9AM, 1
MS-NBC 7AM CNN-FN | 9AM MS-NBC, 1
(Interrupted Service) 3:50 PM, 1
6PM || 9PM, 1
CNN-FN 7AM / MS-NBC 9AM, 1
Sunday 3-14 CBS-3 Sunday Morning 9AM | Face The Nation | ABC-6 This Week | 4-18 Race 3PM PBS-12, 1
Politically Incorrect [each date] Niteline on 8/9 and 8/12, 1
Sunday CBS-3 Sunday Morning | Face The Nation | ABC-6 This Week | PBS-12 McL Grp | Firing Line, 1
Comedy 10-6 CBS-3 Cosby || ABC-6 10-7 Home | NBR | 10-8 CBS-3 Na[sic] | NBC-10 3rd Rock, 1
Hardball S[sic] Repub / Tennessee (Sat), 1
Comedy 4-20 ABC-6 | 4-28 NBC-3 | ABC-6 5-5, 1
8:20 | 10:20, 1
BookTV Sat, 1
Katrina (Mon), 1
Block House Cmte 62-2, 1
Hardball Live at Rep. Conf, 1
Total Solar Eclipse, 1
Comp 7Am, 1
Comp 7AM C-Span [illegible] 10AM | MSNBC 1PM | C-Sp Roosevelt - Truman, 1
Tony Blair Reaction (Sun), 1
Tony Blair on New Terror Laws, 1
Space Walk (6hrs) (Sat), 1
Comp Scarboro G[sic] Gene (Tues), 1
Repairs in Space (Tues), 1
Space Walk Repair, 1
Shuttle Docking, 1
Comp 12-2 8PM | BBC 6AM C-Sp 12-3 10AM, 1
Comp Norville Bot, 1
Comp Daily Show 2:30 AM, 1
Comp Tomkins Square Cirke | Fr BBC 6:30 PM Bot, 1
Comp 1:30 AM, 1
Comp Colin Powell Resigns 6PM Bot, 1
Comp (Sun) Colin Powell Resigns || BBC C0Span 10AM Bot, 1
Comp (Sat) 6Am Bot, 1
Comp Arafat Burial Bot, 1
AAPL Up Yhoo Up, 1
Comp 8:20AM Fox 6AM BBC | C-Sp AM (Sat Sun), 1
Comp 10-9 3PM 2PM | 6AM 10-10 BBC C-Sp 12AM, 1
Comp (Rescue) (Sun), 1
Comp Finally / Mass Evacuation, 1
Comp Cat5 Hurricane LA (Sun), 1
Comp Katrina (Sun), 1
Comp 3:15AM, 1
Comp Labor Day (Mon), 1
Comp NOVA Hawk / NOVA Labor Day BBC (Mon) C-Span, 1
Comp 5PM || 6PM BBC Ch 39 (Sat), 1
Comp AAPL Earn Rept, 1
Comp AAPL Video iPod, 1
Comp Disney//AAPL Video iPod, 1
Comp South Park, 1
Comp 8-27 11:55PM Roseanne || 8-28 BBC C-Span (Sat) 10AM, 1
News PBS-12 Lehrer | NBR ABC-6(5) Niteline, 1
Imus | TechTV 10Am, 1
Comedy 2-2 CBS-3(2) || 2-3 NBC 10(9) Whoop[sic] | Frasier | 2-5 Friend NBC 3/4 | 2-6 Fox 29, 1
C-Span 2 11-24 2:30 PM 6PM | C-NBC 11-27 3PM 6PM, 1
6PM | 11:05 PM, 1
Sunday Ch 35 6:01AM | ABC-6(5) To AM | Phila | Sunday Morning, 1
TechTV 6PM, 1
(Sun) CNN | ABC-5 X | CNN, 1
6PM | 11:12 PM (Fri/Sat) Over Nite, 1
6PM | 12:15 AM, 1
Sunday CNN 7:00 AM | CBS-3 Sunday Morning 9 | Face Nation | ABC-6 11 This Week | CNN 12 Late Edition, 1
6 | 7:30, 1
CNN 6:56 AM | CBS-3(2) 9 Sun Morning | Face Nation || CNN 11 (Sun), 1
News PBS-12 (11) Lehrer | NBR | ABC-6 Football | News | Nite Line, 1
News PBS-12(11) Lehrer | NBR | Wash Wk | Moyers News | Wall St Wk | ABC-6(5) NiteLine, 1
Comedy 11-26 ABC-6(5) | NBC 10(9) | 11-27 NBC-10(9) Friends | 11-28 Comedy Central Wanda, 1
News PBS-12(11) Lehrer | NBR | ABC-6 Nite Line, 1
News PBS 12(11) Lehrer | NBR | ABC 6(5) Football | News | Niteline, 1
Comedy 3-23 NBC10 (9) Whoopee | 3-25 NBC-10 Evie | [illegible] | 3-30 NBC-10/9 Whoopee | Frasier | 4-8 NBC-10 (9) App[sic], 1
6PM | 10PM 1AM, 1
6PM | 11:10 PM Over Nite, 1
(Easter Sun), 1
CNN 4-13 3:30 PM 6PM | 4-14 3PM 6PM, 1
Comedy 3-16 NBC-10(9) Whoopie | 3-17 | 3-18 NBC 10(9) Friends | Will Grace | 4-8 NBC 10(9) Friends | Will Grace, 1
News 3-30 PBS 12 (11) Lehrer | NBR | 3-31 | 4-1 | 4-2, 1
Comp ? (Fri), 1
Apple Up ; Google Up 300, 1
Mem In London, 1
News PBS-12 Lehrer | NBR | ABC News | Clinton Investig Against Starr 4:30 AM, 1
Sunday - CBS 3(2) Sunday Morning | Face The Nation | Religion + Ethics | McLaughlin Group | Economy w/ TWR, 1
Comp Tech TV Final Cut Pro || CNN Hdln (Mon), 1
Comp 1-10 TechTV MSNBC Enron | 1-11, 1
Comp 10AM 6-7 ? 6-8 ? Fox Cnn Bush New Debt ; Capital Gang (Sat), 1
Comp - Cyber Sec. Mo[sic] ; Homeland Def - Bishops, 1
Comp [illegible] TechTV [illegible] 11PM, 1
Comp 1-15 Tech TV 2PM || 1-16 6:30AM CNN Hdln, 1
Comp TechTV Dvorak ; iPhoto 3PM MRx, 1
Comp TechTV Mac FC Pro (Sun), 1
Comp TechTV iMac Convert | Security Voting Online || Niteline Ayatola 9-11, 1
Comp BBC News Ch 35, 1
Comp TechTV Big Thinker, 1
Comp TechTV Mac Dual G4 Scalon Sa[sic], 1
Comp (BookTV 8AM) (Sat) Afghanistan, 1
Holiday ; Comet Collision, 1
London Terrorist, 1
London Subway Explosion, 1
Comp O'Reilly CNN Air [sic] Teleportation Studies | 6am BBC C-Sp 7AM Bot, 1
Comp (BookTV) ?, 1
Comp Tech-TV 8PM, 1
Comp Manhattan Project 30th Anniv. ; O'Reilly Factor Hollywood ; Bill Moyers Now (Water) Bolivia, 1
Comp TechTV Fox CNBC 5PM (Sat), 1
AM Alito (Sun), 1
PM Alito (Sun), 1
Fox? P. State Geraldo CNN (Sun) 6hr, 1
3:30 PM (Sun) 6hr, 1
Occupy W St Gingrich / Crack Down / Joe (Mon) 6hr, 1
7-11 8:30AM MSNBC Mon 6hr | 11-23 8AM Joe, 1
(Dow down 389 on 11-9) (Thu) 6hr, 1
Paul #1? Holiday (Mon) 6hr, 1
Sat 8hrs, 1
2AM Fox Paul / Newt / Joe MSNBC (Wed) 8hr, 1
Pres / Debt "Debate" (Tue) 6hr, 1
G. Lopez (Sat) 6hr, 1
(6hr) (Wed), 1
(Fox News) (Thur) 6hrs, 1
Still No Deal (Tue) 6hr, 1
Debt Deal? / 6AM Joe 8:35Am (Mon) 8hr, 1
6hr (Fri), 1
Debt Showdown (Sat) 6hr, 1
Debt Crisis Vote 8:30 AM (Sat) 6hr, 1
Debt Deal ? (Sun) 6hr, 1
Occupy 6hr, 1
The Five (Sun) 6hr, 1
(EDT), 1
The Daily Show - Jon Stewart [both dates], 1
The Daily Show - Jon Stewart [each date], 1
Gaza Pullout [illegible], 1
Stranded at Heathrow, 1
Gaza Pullout / Iraq Constitut., 1
Pr. Conf Rome / London Terr., 1
Repair In Space, 1
Deep Impact Comet ; Holiday (Mon), 1
Sunday Supr. Ct. July 4 Wkend, 1
Holiday - Deep Impact, 1
O'Conner Retires 5PM, 1
S Miller To Jail ; Olympics London 20TV | 68 In Scotland, 1
Katrina Ch 4 News (Mon), 1
Katrina LA (Mon), 1
Sanur Evacuation | Nac[sic] | W Bank Pullout, 1
Pat Robertson ; Sheehan Back, 1
Cindy Back / Martha!, 1
Space Shuttle, 1
Blizzard (Wed), 1
Cheyney / Biden (Mon), 1
Repeal "Don't Ask" (Wed), 1
Sunday ; Palin ; Blizzard, 1
[illegible] (Thu), 1
Ba[sic]/Ann (Tues), 1
(Healthcare Summit) (Thurs), 1
(Healthc. Summit) (Thu), 1
Healcare Summit (Thurs), 1
MSNBC Blizzard Phila 26.7'' Fox (Sat), 1
Blizzard Phila 28/5 / Palin (Sat), 1
News (Sat) 11-10 CNN 4:30 PM 10PM | 11-21, 1
News | Donahue | Oprah, 1
New (Sun) 3PM, 1
News ; 9| MacNeil Lehrer | NBR, 1
News 11-15 NBC/3 7AM 9 | Nite Line 11-16 | 11-27 After The [illegible], 1
Sunday 11-25 NBC/3 Utley | Meet The Press | Business World | Brinkley | 11-28 Niteline, 1
News 11-30 MacNeil Lehrer | NBR | Wash Wk | Wall St Wk | 12-3/4 11PM News | Niteline | Overnight (?), 1
News 12-1 (Sat) CNN 3PM 7:30 | 12-2 (Sun) 1:00 AM 4:30 A, 1
Comp Taped Over TechTV 8PM 10PM Israel Attacks Arafat ; Arab Sw[sic], 1
Comp TechTV Sharon In US Shandling 4PM, 1
L Sen FBI Hearing Bush Ann Reorg * B, 1
T-Comp "Homeland Def[?] Dept" PBS Evolution Vs Creation Sci 11:50 PM, 1
L CIA [illegible] | NOVA Pakistan No [illegible], 1
Comp 10-6 Becker / Alice / 10-7 (Sun BBC 7:30AM, 1
Tape Defective?, 1
Comp Countdown 9PM, 1
Comp [illegible] Ethics (Sun), 1
10-5 UFOs | 10-6 (Sun) 2PM, 1
Bush to Nation on Iraq Top, 1
Buchanan & Press ; Bush on Iraq Bottom 10:30, 1
Comp Sen./Govt Data Mining 6:25PM, 1
Comp - New Mac Commercial, 1
Comp Obama Ann., 1
6:30 AM Top, 1
Botox Parties 7AM, 1
11AM Top, 1
Comp Clinton BK Deal, 1
Fox 12-22 7PM || 12-23 Top 8AM, 1
Calif Quake 6.5 Top 6PM, 1
(Fri/Sat) Overnite Top, 1
(Sun) 3:45 PM, 1
Comp 3-10 (Sun) Tech-TV 3:34 PM || 3-11, 1
Comp TechTV / Robots Bot, 1
Comp TechTV Palestine | Nick At Nite Ch 37, 1
Comp Bush Powell | Milan, 1
Comp 4AM? Bot, 1
Prim. Obama OR / Clinton KY (Wed) 8:10 AM, 1
Prim Hillary Wins KY (Wed), 1
Prim Thu, 1
Prim (Fri), 1
Prim OR/KY, 1
Prim To OR/KY, 1
Prim Hillary Gaffe Mem Day Wkend (Sat), 1
Sunday Prim Mem Day, 1
Prim Mem Day (Mon), 1
Prim To P. Rico (Tues), 1
Prim Scott McClellan / BK, 1
News 12-? CNN? CNBC? CSPAN? Clinton Scandal 1-?, 1
Domes [sic] Partner B[sic] 4- This Week || 12N, 1
News - Grodin ; Common ; Hardball Clinton, 1
Dow New Record 7PM, 1
BookNotes, 1
CNN 2-21 || CNN 2-22 10AM (Sunday) 2PM, 1
C[sic] He[sic] Jackson From Prison, 1
Comp Up 960+ 12:15 PM, 1
Y2K ; Overnite, 1
Ma[sic], 1
Sunday 10-25 NBC-10 Meet The Press || News 11-23 Lehrer | NBR || 11-24 ABC-6 Polit Incorr, 1
Computers (?), 1
Computers / Media Yahoo Up 113 Mac World 150 SH, 1
Yahoo Up MacWorld Expo, 1
Sunday CBS-3 Sunday Morning 9AM | NBC-10 Meet The Press | CBS Face The Nation | PBS-12 Health | Ethics | McL Group | Firing Line, 1
8PM || 10:20 PM, 1
BookTV (Cont'd) (Sat), 1
Ireland Marh Seattle[?], 1
(Sat) Clinton Africa, 1
Paula Jones Case Dismissed ; Mecca the Hajj, 1
Comp Iraq Mosque Bot, 1
Comp Hardball Am. Wi[sic] || BBC 6AM C-Sp 10min Bot, 1
Comp Scarboro Bot, 1
Comp 5-13 6PM Ch 35 BBC 8PM || 5-22 AM Bush to Ger. Cha[sic]ra? PM, 1
Comp 10:31PM My Hero 8-21 || 8-22 6AM BBC C-Sp (Sat/Sun) Bot 11:50 AM, 1
Comp (Sat) 10:30 PM Bot, 1
Comedy 11-13 NBC 10(9) Frazier | 11-21 ABC 6(5) Drew Carey, 1
2:30 PM Bot, 1
Comp | 2 hrs Missed | 6PM, 1
Comp AM, 1
Comp ; Kerry | Iraq Moscue Se[sic] BBC C-Sp 10:30 AM Bot, 1
Comp (Sun Mon) 1:45 PM Bot, 1
Comp EU MSFT Anti-Trust 3PM, 1
News PBS-12 Lehrer | NBR | Koppel Last Wks? Pol. Incorr. (Wed), 1
Comp 9PM Bot, 1
Comp Bush in Europe 8PM, 1
Comp (Sun) 2PM Bot, 1
Comp TechTV (Sat) Bot, 1
Comp Invent Titis Pops 4PM Bot, 1
News PBS-12 Lehrer | NBR | Niteline | Pol Inc | Nick At Nite | TechTV iMac, 1
Comp 2-28 TechTV 11PM || 3-1 TechTV Mkt PS7 Mac OX 6PM, 1
Comp Scarbor[sic] Bot, 1
Comp Holiday Mon Bot, 1
Comp 10:20 PM Bot, 1
Comp Kerry / Educ. 2Am Bot, 1
Comp Kerry Arr Education S/VP Bot, 1
Comp Chef Cooking Compet. 11Pm Bot, 1
Comp (Sat/Sun) Over Nite Sat Nite Live, 1
Comp Niteline Plit. Incorr., 1
News PBS-12 Lehrer | NBR | ABC-6 Niteline | Pol. Inc., 1
Comp CSPAN 10 || MSNBC (Sun), 1
Comp (Fri/Sat), 1
