Description - Program titles - any/all other information written out on tape label, N
SAT, BOOK TV, 4
Telecourses 7AM, 4
Lehrer | NBR [each date], 4
2008 Prim (Fri), 4
News - 2, 4
0.1875, 4
General Hospital | Phil | Oprah, 4
0.71875, 4
News - Niteline / Politically Incorrect [each date], 4
News ; 8PM ||, 4
News ; McNeil Lehrer, 4
Sunday kuralt, 4
News fnn 11:30am, 4
News fnn 8:30pm, 4
Sunday fox29, 4
News 5:30 PM, 4
News (Tue), 4
News ABC AM, 4
News (Sat) 2PM, 4
News PBS-12 Lehrer | NBR | Wash Wk | Wall St Wk | ABC-6 Niteline, 4
News Thomas 11PM, 4
6PM || 10PM, 4
Sunday 3PM, 4
Comp Fox News (Sat), 4
Sunday This Week, 4
47.0, 4
Comp (Sun) 2PM, 4
10PM Top, 4
? ? '00 or '01, 4
BookTV (Sat/Sun) Overnite, 4
Educ - Doc OJ Simpson, 4
OJ / DNA, 4
News 12:30 AM, 4
News ? 11PM, 4
Educ ? (Mar - Jul '94), 4
News, Monitor 10/? or 11/?, 4
Comp 7AM ||, 4
Comp (BookTV) (Sun), 4
Comp Human Cloning, 4
Comp 9PM, 4
Misc 9PM, 4
CBS Sunday Morning, 4
Comp 6AM, 4
Comp (Fri/Sat) Overnite, 4
8AM (BookTV) (Sat), 4
News 11pm   7am, 4
Written on a piece of paper in the box, 4
***note, 4
2009 mon, 3
auto hearings, 3
(Thurs) (8hr), 3
2008 primary Hillary, 3
comp (sun/mon) over nite, 3
Doctor in the House, 3
(TUE) 6 HR, 3
(Thurs) 8hrs, 3
(fri/sat) over nite, 3
2008 campn (sun), 3
COMP; BBC 7AM, 3
COMP; Thanksgiving, 3
2009, (THURS), 3
2009, (TUE), 3
AMERICAN WRITERS, 3
(Sun) TOP, 3
News; illegible, 3
COMP; Tucker, 3
COMP (Sat.), 3
COMP (Fri) 6 hr, 3
COMP (Thur) 6 hr, 3
COMP; (Tue) 6 hr, 3
COMP- BOT, 3
(wed), 3
(fri), 3
Sunday fox 29, 3
0.375, 3
(sat) top, 3
Comp (sat) (book tv 8am), 3
Comp (book tv), 3
Comp book tv, 3
Comp (Sat) (BookTV 8 AM), 3
Comp (Sat) BookTV, 3
Comp BookTV (Sun), 3
Comp Overnite, 3
News; Lehrer; NBR; Wash Wh; Wall St Wh, 3
News; Lehrer; NBR; NL (?); PI, 3
COMP, (SAT) (BOOK TV), 3
COMP, (BOOK TV), 3
COMP, BOOK TV, (SAT), 3
BOOK TV, (SUN), 3
COMP, BOOK TV, (SUN), 3
COMP, BOOK TV, 3
2010, (WED), 3
(BOOK TV) (SUN), 3
2008 Campn. ; (Sun), 3
Comp ; (Sat/Sun) Overnite, 3
Meet the Press, 3
EMPTY LABEL, 3
2008 ELECT (SUN), 3
2008 ELECT (SAT), 3
FOOD NETWORK, 3
2008 ELECT (FRI), 3
2008 ELECT, (TUE), 3
2008 ELECT, (SUN), 3
2009 (FRI), 3
2009 (THURS), 3
NEWS-3PM, 3
COMP, SAT, 3
BOOKS, 3
BOOK NOTES, 3
0.96875, 3
(BOOK TV) (SAT), 3
(ECL), 3
(Illegible), 3
CNN, 3
LEHRER//NBR; LEHRER//NBR; LEHRER//NBR, 3
NEWS; LEHRER; NBR; WORK WK; WALL ST WK, 3
Oj news, 3
Book TV (Sat/Sun) Overnite, 3
(FRI / SAT) OVERNITE, 3
(SUN / MON) OVERNITE, 3
The Daily Show - Jon Stewart, 3
8 PM → 10 PM, 3
12N, 3
UPSTAIRS DOWNSTAIRS, 3
COMP (TOP), 3
2008 CAMPN (MON), 3
THURS 8HR, 3
WED 8HR, 3
MON 6HR, 3
(FRI) 6HR, 3
Sun 6hrs, 3
(wed) 6hrs, 3
(FRI) (6HR), 3
Sunday; Bailout, 3
COMP - 10PM, 3
TOP, 10 PM, 3
NEWS 3PM, 3
Beauty & The Beast, 3
DR WHO, 3
2008 Campn (SAT), 3
Thurs; 8hr, 3
ILLEGIBLE, 3
???, 3
2010; (FRI), 3
2010 (THURS), 3
Clinton, 3
BOOK TV, (SAT), 3
(Sat/Sun), 3
Comedy ; Sat Nite Live, 3
News ; PBS-12 Lehrer | NBR, 3
Geraldo, 3
2008 CAMPN (Tues), 3
New Year's Eve, 3
Academy Awards, 3
ELECTION, 3
2008 PRIM SUNDAY, 3
MICROSOFT, 3
2008 SUPER TUESDAY, 3
inauguration (tue), 3
0.65625, 3
(Fri) 8hrs, 3
(Mon) 8hrs, 3
Up w Hayes (Sun) 8hr, 3
Tues 6hrs, 3
Mon (6hrs), 3
Fri 6hr, 3
Comp [illegible], 3
Tucker, 3
CNN-fn, 3
Comp ; 11PM, 3
Booknotes, 3
Book TV ?; ?, 3
News, Overnite, 3
Election, 3
COMP, (Sun), 3
(Sun), Book TV, 3
Starr [illegible], 3
(MSD), 3
BOOK TV (Sun), 3
BOOK TV, (Sun), 3
BOOK TV, (Sat/Sun), Overnite, 3
0.4270833333333333, 3
Lehrer I NBR, 3
MSNBC, 3
Impeach Vote, 3
Imus, 3
Grodin, 3
Book TV (contd), 3
News I Lehrer, 3
(Sat/Sun) Overnite BookTV, 3
Nightline / Politically Incorrect, 3
(Sun/Mon) Overnite BookTV, 3
Comp ; [illegible], 3
Overnite ; 7AM, 3
Nick At Night, 3
Lehrer | NBR, 3
Comp (Sunday), 3
News Lehrer | NBR | Wash Wk | Wall St Wk, 3
News ; Overnite ; 7AM, 3
News ; 8:30 PM, 3
News ; 10PM, 3
(MON) (6 HR), 3
(FRI) (6 HR), 3
(THUR) 6 HR, 3
(MON) 6 HR, 3
(FRI) 6 HRS, 3
(WED) 8 HR, 3
(SAT) 6 HRS, 3
SAT 6 HRS, 3
TUE 6 HR, 3
COMEDY, NICK AT NITE, 3
0.16666666666666666, 3
WED, 6 HR, 3
(THURS) 6 HRS, 3
FRI 6 HR, 3
UP W HAYES (SAT) 6 HR, 3
(FRI) 6 HR, 3
FRI, 6 HR, 3
SUN, 6 HRS, 3
MON, 6 HRS, 3
Northern Exposure, 3
Waltons, 3
The Waltons, 3
Comp ; TOP, 3
Fri ; 8hr, 3
Sun ; 6hr, 3
Wed, 3
(Sat) 6HR, 3
(Thu) 6HR, 3
Wed ; 8hr, 3
(Sat/Sun) Over Nite (BookTV), 3
Comp (Tues), 3
Tues. 6hrs, 3
Weds. 6hrs, 3
Mon. 6hrs, 3
Thurs 6hrs, 3
22, THE DAILY SHOW, 3
2008 SUPER TUES, 3
B, 3
0.4375, 3
SUNDAY, NEW HAMPSHIRE PRIMARY, 3
NEW HAMPSHIRE PRIMARIES, 3
2008 PRIMARIES, (SAT), 3
COMEDY, NICK AT NITE, NEWHART, 3
0.10416666666666667, 3
COMP, BUSH TO CONGRESS, 3
8PM | 9PM, 3
Comp ; Jesse Jackson, 3
(Sat) 8AM BookTV, 3
Comp-B (Sat), 3
News - 11:30 AM, 3
News (Sat) 11:30 AM, 3
? 87-88, 3
News ; PM, 3
News ; Nite Line, 3
Y2K (Sat), 3
Comedy ; Cosby Show | Family Ties | Cheers | Night Court, 3
Drama - My So-Called Life, 3
2008 Election (Sat), 3
Comp ; T, 3
Drama, 3
Docu ; Phil | Oprah, 3
News ; Oprah, 3
News Lehrer, 3
News fnn 11pm, 3
News cnn, 3
Oprah, 3
Summer, 3
News #1 ch 4 nbc am, 3
Fox News (Hol), 3
(BookTV) (Sun/Mon) Over Nite, 3
Soap [each date], 3
All In The Family [each date], 3
(Ecl), 3
Comp ; Y2K, 3
News (Sat) 7PM, 3
News (Holiday) 3PM, 3
News [illegible label], 3
News Lehrer | NBR |, 3
News (Overnite) 6AM, 3
News PBS-12 Lehrer | NBR | ABC 6 Niteline, 3
News PBS 12 Lehrer | NBR | Wash Wk | Wall St Wk | ABC-6 Niteline, 3
News PBS 12 Lehrer | NBR | Wash Wk | Wall St Wk | ABC-6 News | Niteline, 3
News PBS-12 Lehrer | NBR | ABC-6 News | Niteline, 3
News 6:30 PM, 3
Comp 3PM Bot, 3
Drama - East Enders [each date], 3
Sunday Utley | Meet The Press, 3
Comedy Mommies | Cafe American | Empty Nest | Nurses | Sisters | News | Sat Nite Live | Comedy Showcase, 3
Comp Gibson, 3
Comp 8PM || 10PM, 3
(Sun/Mon) Over Nite 7AM, 3
Sunday News | This Week, 3
Comp Top, 3
Comp 6AM Bot, 3
Book TV (Sun/Mon) Over Nite, 3
Comp ||, 3
Comp (Sat) 6PM, 3
OJ / DNA 8PM, 3
News 11:30, 3
News 7:30 PM, 3
News (Mon) 11:30 AM, 3
News (Tue) 11:30 AM, 3
Simpson Trial, 3
News Lehrer | Group | Served, 3
Niteline, 3
News 3PM C-FNN / C-Span 2 11PM, 3
C-Span 7AM | 10AM CNN, 3
News 4:30 PM, 3
(Sunday) 3PM, 3
Computers, 3
News & Monitor 10-? or 11-? Ch 5 ABC, 3
News (Mon) 11PM, 3
News (Mon) 3PM, 3
NH Primary, 3
Comp (Ecl), 3
6PM | 8PM, 3
? ? - 00, 3
? ? 01 or 02 ?, 3
Comp Election, 3
Comp Tucker, 3
Comp Y2K, 3
Sun/Mon Overnite 7AM, 3
iPhone, 3
Comp Hardball, 3
News 11:30 A, 3
News (Fri) 11:30 AM, 3
News (PM), 3
News - Nightline / Politically Incorrect [each date], 3
News 12:30, 3
News ?, 3
Digital Future, 3
98, '99 ?, 3
Night Line, 3
Nightline, 3
Morning, 3
Okla, 3
Gaza Pullout (Sun), 3
Gaza Pullout, 3
Comp 10:30 AM Bot, 3
Sunday 2008 Prim PA, 3
Comp AM Bot, 3
6PM | 11PM, 3
News fnn 7am   3pm, 3
News 3pm    11pm, 3
News 7am   3pm, 3
News 3pm   11pm, 3
AUTO HEARINGS, 3
50.0, 3
Comp, BOT, 3
COMP, Sun, Mon, 3
"OVER NITE", 2
No label, 2
Peter the Great, 2
(Sun/Mon) Overnight, 2
(Sat/Sun) Overnight, 2
(Sat) Book TV, 2
News ; Lehrer, 2
Arafat Dead, 2
Tech TV, 2
(hol), 2
10pm news, ???, 2
Lehrer News Hour and other text, 2
Over Mite, 2
Overnite. Other time given: 7AM, 2
Sunday; obama/trip, 2
TCP, 2
Sunday TOP, 2
Trent Lott, 2
(Sun/Mon) TOP, 2
2008 campaign, 2
comp (over nite), 2
news, 2
PBS News, 2
Comedy [illegible], 2
Wed (8hr), 2
Flame trees of thika, 2
Berstein/beethoven, 2
(sun/mon) over nite, 2
General hospital; dynasty, 2
General hospital; general hospital; dynasty; general hospital, 2
Drama; general hospital, 2
2008 campn (thu), 2
 (sun), 2
sun, 2
COMP; Daily Show, 2
(Sun) [illegible], 2
Comedy | [illegible] | [illegible] | [illegible] | ALF | [illegible] | FF, 2
Comedy | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | 227 | Golden Girl | Amen | [illegible], 2
Comedy | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible], 2
[illegible] | [illegible], 2
2009, (SUN), 2
(SAT) BOOK TV, 2
2008 CAMPN, (WED), 2
2008 prim (fri), 2
2008.0, 2
overnite, 2
Comp  , 2
Comp; over nite, 2
Comp ?, 2
Comp (?), 2
Comp (sat), 2
The Daily Show, 2
Comedy Ellen, 2
COMP Bot, 2
COMP;  Bot, 2
COMP; TOP, 2
Bill Moyers Journal, 2
2008 Prim; (Sat), 2
2008 Prim; (Fri), 2
(Sun/Mon); Overnite, 2
COMP; 8pm, 2
COMP Over Nite, 2
COMP Sun., 2
COMP Over Nite (50), 2
COMP (Wed) 6 hr, 2
COMP (Sat) 6 hr, 2
COMP (Tue) 6 hr, 2
COMP; (Mon) 6 hr, 2
COMP: Meet the Press; ABC AM News; McNeil Lehrer; Dr. Who; Nite Line (Sun; Mon), 2
NEWS: Nite Bus Rep; McNeil Lehrer; Wall St. Week; Washington Week; Niteline (Thur; Fri), 2
COMP (Sat; Sun), 2
NEWS; Book TV, 2
COMP; Daily Show; State of Union, 2
2008 Primary (Tues), 2
2008 Primary PA (Sun), 2
2008 Primary PA Debate, 2
COMP-BOT, 2
(Sat) TOP, 2
Top 3pm, 2
Comp; bot 10am, 2
(fri/ sat) over nite, 2
Comp (sun/mon) (book tv) over nite, 2
Comp (sat) (book tv), 2
Comedy/ cbs-3, 2
...., 2
BookTV (Sun then?), 2
Comp (BookTV - 8 AM), 2
